Chromosome,CHR,feature,start,end,geneID,name,XM_value
NC_035781.1,chr2,exon,42746900,42747053,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42752018,42752089,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42753688,42753765,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42754913,42755014,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42756149,42756217,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42756616,42756723,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42756835,42757768,LOC111119582,GTPase IMAP family member 4-like,XM_022459881.1
NC_035781.1,chr2,exon,42746799,42746927,LOC111119581,GTPase IMAP family member 8-like,XM_022459875.1
NC_035781.1,chr2,exon,42744433,42745044,LOC111119581,GTPase IMAP family member 8-like,XM_022459875.1
NC_035781.1,chr2,exon,42743140,42743904,LOC111119581,GTPase IMAP family member 8-like,XM_022459875.1
NC_035783.1,chr4,exon,40503237,40503360,LOC111129932,GTPase IMAP family member 4-like,XM_022476483.1
NC_035783.1,chr4,exon,40501095,40501266,LOC111129932,GTPase IMAP family member 4-like,XM_022476483.1
NC_035783.1,chr4,exon,40489103,40489190,LOC111129932,GTPase IMAP family member 4-like,XM_022476483.1
NC_035783.1,chr4,exon,40487217,40489010,LOC111129932,GTPase IMAP family member 4-like,XM_022476483.1
NC_035783.1,chr4,exon,40503237,40503360,LOC111129932,GTPase IMAP family member 4-like,XM_022476482.1
NC_035783.1,chr4,exon,40501095,40501266,LOC111129932,GTPase IMAP family member 4-like,XM_022476482.1
NC_035783.1,chr4,exon,40500839,40500967,LOC111129932,GTPase IMAP family member 4-like,XM_022476482.1
NC_035783.1,chr4,exon,40489103,40489190,LOC111129932,GTPase IMAP family member 4-like,XM_022476482.1
NC_035783.1,chr4,exon,40487217,40489010,LOC111129932,GTPase IMAP family member 4-like,XM_022476482.1
NC_035783.1,chr4,exon,40506855,40506965,LOC111129930,GTPase IMAP family member 4-like,XM_022476479.1
NC_035783.1,chr4,exon,40511769,40511807,LOC111129930,GTPase IMAP family member 4-like,XM_022476479.1
NC_035783.1,chr4,exon,40511934,40515001,LOC111129930,GTPase IMAP family member 4-like,XM_022476479.1
NC_035783.1,chr4,exon,40507602,40507653,LOC111129930,GTPase IMAP family member 4-like,XM_022476477.1
NC_035783.1,chr4,exon,40511769,40511807,LOC111129930,GTPase IMAP family member 4-like,XM_022476477.1
NC_035783.1,chr4,exon,40511934,40515001,LOC111129930,GTPase IMAP family member 4-like,XM_022476477.1
NC_035783.1,chr4,exon,40507954,40508001,LOC111129930,GTPase IMAP family member 4-like,XM_022476480.1
NC_035783.1,chr4,exon,40511769,40511807,LOC111129930,GTPase IMAP family member 4-like,XM_022476480.1
NC_035783.1,chr4,exon,40511934,40515001,LOC111129930,GTPase IMAP family member 4-like,XM_022476480.1
NC_035783.1,chr4,exon,41224013,41224086,LOC111130155,GTPase IMAP family member 4-like,XM_022476897.1
NC_035783.1,chr4,exon,41218012,41218050,LOC111130155,GTPase IMAP family member 4-like,XM_022476897.1
NC_035783.1,chr4,exon,41216464,41217883,LOC111130155,GTPase IMAP family member 4-like,XM_022476897.1
NC_035783.1,chr4,exon,41225365,41225472,LOC111130155,GTPase IMAP family member 4-like,XM_022476898.1
NC_035783.1,chr4,exon,41218012,41218050,LOC111130155,GTPase IMAP family member 4-like,XM_022476898.1
NC_035783.1,chr4,exon,41216466,41217883,LOC111130155,GTPase IMAP family member 4-like,XM_022476898.1
NC_035783.1,chr4,exon,41218133,41218150,LOC111130155,GTPase IMAP family member 4-like,XM_022476899.1
NC_035783.1,chr4,exon,41218012,41218050,LOC111130155,GTPase IMAP family member 4-like,XM_022476899.1
NC_035783.1,chr4,exon,41216466,41217883,LOC111130155,GTPase IMAP family member 4-like,XM_022476899.1
NC_035783.1,chr4,exon,41231076,41231216,LOC111130153,GTPase IMAP family member 4-like,XM_022476892.1
NC_035783.1,chr4,exon,41231344,41231472,LOC111130153,GTPase IMAP family member 4-like,XM_022476892.1
NC_035783.1,chr4,exon,41241850,41241928,LOC111130153,GTPase IMAP family member 4-like,XM_022476892.1
NC_035783.1,chr4,exon,41242024,41243082,LOC111130153,GTPase IMAP family member 4-like,XM_022476892.1
NC_035783.1,chr4,exon,41231076,41231216,LOC111130153,GTPase IMAP family member 4-like,XM_022476894.1
NC_035783.1,chr4,exon,41231344,41231468,LOC111130153,GTPase IMAP family member 4-like,XM_022476894.1
NC_035783.1,chr4,exon,41241850,41241928,LOC111130153,GTPase IMAP family member 4-like,XM_022476894.1
NC_035783.1,chr4,exon,41242024,41243082,LOC111130153,GTPase IMAP family member 4-like,XM_022476894.1
NC_035783.1,chr4,exon,41231081,41231216,LOC111130153,GTPase IMAP family member 4-like,XM_022476893.1
NC_035783.1,chr4,exon,41241850,41241928,LOC111130153,GTPase IMAP family member 4-like,XM_022476893.1
NC_035783.1,chr4,exon,41242024,41243082,LOC111130153,GTPase IMAP family member 4-like,XM_022476893.1
NC_035784.1,chr5,exon,89744459,89744562,LOC111132212,GTPase IMAP family member 4-like,XM_022479991.1
NC_035784.1,chr5,exon,89750216,89751167,LOC111132212,GTPase IMAP family member 4-like,XM_022479991.1
NC_035785.1,chr6,exon,12927974,12928162,LOC111100020,GTPase IMAP family member 4-like,XM_022431588.1
NC_035785.1,chr6,exon,12895922,12895998,LOC111100020,GTPase IMAP family member 4-like,XM_022431588.1
NC_035785.1,chr6,exon,12854692,12856780,LOC111100020,GTPase IMAP family member 4-like,XM_022431588.1
NC_035785.1,chr6,exon,12927974,12928159,LOC111100020,GTPase IMAP family member 4-like,XM_022431586.1
NC_035785.1,chr6,exon,12895922,12895998,LOC111100020,GTPase IMAP family member 4-like,XM_022431586.1
NC_035785.1,chr6,exon,12879076,12880079,LOC111100020,GTPase IMAP family member 4-like,XM_022431586.1
NC_035785.1,chr6,exon,12918655,12918675,LOC111100020,GTPase IMAP family member 4-like,XM_022431587.1
NC_035785.1,chr6,exon,12895922,12895998,LOC111100020,GTPase IMAP family member 4-like,XM_022431587.1
NC_035785.1,chr6,exon,12879076,12880079,LOC111100020,GTPase IMAP family member 4-like,XM_022431587.1
NC_035786.1,chr7,exon,14027963,14028019,LOC111102552,GTPase IMAP family member 4-like,XM_022435345.1
NC_035786.1,chr7,exon,14032618,14032828,LOC111102552,GTPase IMAP family member 4-like,XM_022435345.1
NC_035786.1,chr7,exon,14041174,14041275,LOC111102552,GTPase IMAP family member 4-like,XM_022435345.1
NC_035786.1,chr7,exon,14043524,14046663,LOC111102552,GTPase IMAP family member 4-like,XM_022435345.1
NC_035786.1,chr7,exon,14219264,14219301,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14216105,14216323,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14215531,14215644,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14215315,14215342,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14215078,14215223,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14214325,14214363,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14213375,14213506,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,14209656,14211131,LOC111103040,GTPase IMAP family member 4-like,XM_022436038.1
NC_035786.1,chr7,exon,38063463,38063543,LOC111105336,GTPase IMAP family member 4-like,XM_022439574.1
NC_035786.1,chr7,exon,38063168,38063268,LOC111105336,GTPase IMAP family member 4-like,XM_022439574.1
NC_035786.1,chr7,exon,38063051,38063080,LOC111105336,GTPase IMAP family member 4-like,XM_022439574.1
NC_035786.1,chr7,exon,38056270,38057309,LOC111105336,GTPase IMAP family member 4-like,XM_022439574.1
NC_035786.1,chr7,exon,38093118,38093250,LOC111105335,GTPase IMAP family member 4-like,XM_022439573.1
NC_035786.1,chr7,exon,38092813,38092913,LOC111105335,GTPase IMAP family member 4-like,XM_022439573.1
NC_035786.1,chr7,exon,38092688,38092717,LOC111105335,GTPase IMAP family member 4-like,XM_022439573.1
NC_035786.1,chr7,exon,38086481,38088204,LOC111105335,GTPase IMAP family member 4-like,XM_022439573.1
NC_035786.1,chr7,exon,38576286,38576347,LOC111105339,GTPase IMAP family member 4-like,XM_022439579.1
NC_035786.1,chr7,exon,38110142,38110243,LOC111105339,GTPase IMAP family member 4-like,XM_022439579.1
NC_035786.1,chr7,exon,38109088,38109126,LOC111105339,GTPase IMAP family member 4-like,XM_022439579.1
NC_035786.1,chr7,exon,38095081,38095967,LOC111105339,GTPase IMAP family member 4-like,XM_022439579.1
NC_035786.1,chr7,exon,38110896,38111180,LOC111105339,GTPase IMAP family member 4-like,XM_022439578.1
NC_035786.1,chr7,exon,38110142,38110243,LOC111105339,GTPase IMAP family member 4-like,XM_022439578.1
NC_035786.1,chr7,exon,38109088,38109126,LOC111105339,GTPase IMAP family member 4-like,XM_022439578.1
NC_035786.1,chr7,exon,38095081,38095967,LOC111105339,GTPase IMAP family member 4-like,XM_022439578.1
NC_035786.1,chr7,exon,38570088,38570178,LOC111105333,GTPase IMAP family member 4-like,XM_022439572.1
NC_035786.1,chr7,exon,38569787,38569856,LOC111105333,GTPase IMAP family member 4-like,XM_022439572.1
NC_035786.1,chr7,exon,38569288,38569389,LOC111105333,GTPase IMAP family member 4-like,XM_022439572.1
NC_035786.1,chr7,exon,38568823,38568861,LOC111105333,GTPase IMAP family member 4-like,XM_022439572.1
NC_035786.1,chr7,exon,38526548,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439572.1
NC_035786.1,chr7,exon,38544894,38544911,LOC111105333,GTPase IMAP family member 4-like,XM_022439571.1
NC_035786.1,chr7,exon,38537849,38537918,LOC111105333,GTPase IMAP family member 4-like,XM_022439571.1
NC_035786.1,chr7,exon,38537431,38537532,LOC111105333,GTPase IMAP family member 4-like,XM_022439571.1
NC_035786.1,chr7,exon,38536948,38536986,LOC111105333,GTPase IMAP family member 4-like,XM_022439571.1
NC_035786.1,chr7,exon,38526559,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439571.1
NC_035786.1,chr7,exon,38544894,38544908,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38541008,38541052,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38538150,38538375,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38537849,38537918,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38537431,38537532,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38536948,38536986,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38526559,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439568.1
NC_035786.1,chr7,exon,38541008,38541518,LOC111105333,GTPase IMAP family member 4-like,XM_022439570.1
NC_035786.1,chr7,exon,38537849,38537918,LOC111105333,GTPase IMAP family member 4-like,XM_022439570.1
NC_035786.1,chr7,exon,38537431,38537532,LOC111105333,GTPase IMAP family member 4-like,XM_022439570.1
NC_035786.1,chr7,exon,38536948,38536986,LOC111105333,GTPase IMAP family member 4-like,XM_022439570.1
NC_035786.1,chr7,exon,38526559,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439570.1
NC_035786.1,chr7,exon,38538617,38538688,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38538150,38538375,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38537849,38537918,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38537431,38537532,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38536948,38536986,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38526559,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439567.1
NC_035786.1,chr7,exon,38538617,38538652,LOC111105333,GTPase IMAP family member 4-like,XM_022439569.1
NC_035786.1,chr7,exon,38537849,38537918,LOC111105333,GTPase IMAP family member 4-like,XM_022439569.1
NC_035786.1,chr7,exon,38537431,38537532,LOC111105333,GTPase IMAP family member 4-like,XM_022439569.1
NC_035786.1,chr7,exon,38536948,38536986,LOC111105333,GTPase IMAP family member 4-like,XM_022439569.1
NC_035786.1,chr7,exon,38526559,38527650,LOC111105333,GTPase IMAP family member 4-like,XM_022439569.1
NC_035786.1,chr7,exon,38573311,38573326,LOC111105333,GTPase IMAP family member 4-like,XM_022439566.1
NC_035786.1,chr7,exon,38569787,38569856,LOC111105333,GTPase IMAP family member 4-like,XM_022439566.1
NC_035786.1,chr7,exon,38569288,38569389,LOC111105333,GTPase IMAP family member 4-like,XM_022439566.1
NC_035786.1,chr7,exon,38568823,38568861,LOC111105333,GTPase IMAP family member 4-like,XM_022439566.1
NC_035786.1,chr7,exon,38561364,38562452,LOC111105333,GTPase IMAP family member 4-like,XM_022439566.1
NC_035786.1,chr7,exon,38570088,38570178,LOC111105333,GTPase IMAP family member 4-like,XM_022439565.1
NC_035786.1,chr7,exon,38569787,38569856,LOC111105333,GTPase IMAP family member 4-like,XM_022439565.1
NC_035786.1,chr7,exon,38569288,38569389,LOC111105333,GTPase IMAP family member 4-like,XM_022439565.1
NC_035786.1,chr7,exon,38568823,38568861,LOC111105333,GTPase IMAP family member 4-like,XM_022439565.1
NC_035786.1,chr7,exon,38561364,38562452,LOC111105333,GTPase IMAP family member 4-like,XM_022439565.1
NC_035786.1,chr7,exon,54350527,54350571,LOC111103458,GTPase IMAP family member 4-like,XM_022436744.1
NC_035786.1,chr7,exon,54338791,54338897,LOC111103458,GTPase IMAP family member 4-like,XM_022436744.1
NC_035786.1,chr7,exon,54337680,54337718,LOC111103458,GTPase IMAP family member 4-like,XM_022436744.1
NC_035786.1,chr7,exon,54335425,54336890,LOC111103458,GTPase IMAP family member 4-like,XM_022436744.1
NC_035786.1,chr7,exon,54362789,54362891,LOC111103460,GTPase IMAP family member 4-like,XM_022436745.1
NC_035786.1,chr7,exon,54359215,54359253,LOC111103460,GTPase IMAP family member 4-like,XM_022436745.1
NC_035786.1,chr7,exon,54355954,54356867,LOC111103460,GTPase IMAP family member 4-like,XM_022436745.1
NC_035786.1,chr7,exon,54493072,54493108,LOC111104840,GTPase IMAP family member 4-like,XM_022439000.1
NC_035786.1,chr7,exon,54476477,54476583,LOC111104840,GTPase IMAP family member 4-like,XM_022439000.1
NC_035786.1,chr7,exon,54460846,54462391,LOC111104840,GTPase IMAP family member 4-like,XM_022439000.1
NC_035786.1,chr7,exon,54490490,54490706,LOC111104840,GTPase IMAP family member 4-like,XM_022438997.1
NC_035786.1,chr7,exon,54476477,54476583,LOC111104840,GTPase IMAP family member 4-like,XM_022438997.1
NC_035786.1,chr7,exon,54460846,54462391,LOC111104840,GTPase IMAP family member 4-like,XM_022438997.1
NC_035786.1,chr7,exon,54479767,54479881,LOC111104840,GTPase IMAP family member 4-like,XM_022438995.1
NC_035786.1,chr7,exon,54476477,54476583,LOC111104840,GTPase IMAP family member 4-like,XM_022438995.1
NC_035786.1,chr7,exon,54460846,54462391,LOC111104840,GTPase IMAP family member 4-like,XM_022438995.1
NC_035786.1,chr7,exon,54479763,54479859,LOC111104840,GTPase IMAP family member 4-like,XM_022438996.1
NC_035786.1,chr7,exon,54476477,54476583,LOC111104840,GTPase IMAP family member 4-like,XM_022438996.1
NC_035786.1,chr7,exon,54460846,54462391,LOC111104840,GTPase IMAP family member 4-like,XM_022438996.1
NC_035786.1,chr7,exon,54588815,54588883,LOC111103161,GTPase IMAP family member 4-like,XM_022436219.1
NC_035786.1,chr7,exon,54564564,54564671,LOC111103161,GTPase IMAP family member 4-like,XM_022436219.1
NC_035786.1,chr7,exon,54557682,54559180,LOC111103161,GTPase IMAP family member 4-like,XM_022436219.1
NC_035787.1,chr8,exon,5914739,5914820,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5917476,5917616,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5920642,5920719,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5921001,5921243,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5921246,5921554,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5921557,5922236,LOC111108760,GTPase IMAP family member 4-like,XM_022444820.1
NC_035787.1,chr8,exon,5933517,5933691,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5950024,5950210,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5956608,5956718,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5960907,5960973,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5961080,5961213,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5966412,5966549,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5968507,5969454,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5969557,5969772,LOC111106989,GTPase IMAP family member 7-like,XM_022441911.1
NC_035787.1,chr8,exon,5940626,5940793,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5950024,5950210,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5956608,5956718,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5960907,5960973,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5961080,5961213,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5966412,5966549,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5968507,5969454,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5969557,5969772,LOC111106989,GTPase IMAP family member 7-like,XM_022441910.1
NC_035787.1,chr8,exon,5940626,5940793,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5950024,5950210,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5960907,5960973,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5961080,5961213,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5966412,5966549,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5968507,5969454,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5969557,5969772,LOC111106989,GTPase IMAP family member 7-like,XM_022441912.1
NC_035787.1,chr8,exon,5940626,5940793,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5950024,5950210,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5956608,5956718,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5960907,5960973,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5961080,5961213,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5961491,5961609,LOC111106989,GTPase IMAP family member 7-like,XM_022441913.1
NC_035787.1,chr8,exon,5984198,5984231,LOC111110635,GTPase IMAP family member 4-like,XM_022447212.1
NC_035787.1,chr8,exon,5987202,5987321,LOC111110635,GTPase IMAP family member 4-like,XM_022447212.1
NC_035787.1,chr8,exon,5991155,5992185,LOC111110635,GTPase IMAP family member 4-like,XM_022447212.1
NC_035787.1,chr8,exon,8539949,8540033,LOC111106328,GTPase IMAP family member 4-like,XM_022440957.1
NC_035787.1,chr8,exon,8539124,8539225,LOC111106328,GTPase IMAP family member 4-like,XM_022440957.1
NC_035787.1,chr8,exon,8537174,8537251,LOC111106328,GTPase IMAP family member 4-like,XM_022440957.1
NC_035787.1,chr8,exon,8534965,8536829,LOC111106328,GTPase IMAP family member 4-like,XM_022440957.1
NC_035787.1,chr8,exon,8554511,8554620,LOC111106343,GTPase IMAP family member 4-like,XM_022440992.1
NC_035787.1,chr8,exon,8553686,8553787,LOC111106343,GTPase IMAP family member 4-like,XM_022440992.1
NC_035787.1,chr8,exon,8551737,8551814,LOC111106343,GTPase IMAP family member 4-like,XM_022440992.1
NC_035787.1,chr8,exon,8549524,8551392,LOC111106343,GTPase IMAP family member 4-like,XM_022440992.1
NC_035787.1,chr8,exon,8561707,8561779,LOC111109878,GTPase IMAP family member 4-like,XM_022446132.1
NC_035787.1,chr8,exon,8561260,8561440,LOC111109878,GTPase IMAP family member 4-like,XM_022446132.1
NC_035787.1,chr8,exon,8560082,8560183,LOC111109878,GTPase IMAP family member 4-like,XM_022446132.1
NC_035787.1,chr8,exon,8559404,8559481,LOC111109878,GTPase IMAP family member 4-like,XM_022446132.1
NC_035787.1,chr8,exon,8558304,8559293,LOC111109878,GTPase IMAP family member 4-like,XM_022446132.1
NC_035787.1,chr8,exon,8572252,8572347,LOC111105744,GTPase IMAP family member 4-like,XM_022440119.1
NC_035787.1,chr8,exon,8570483,8570584,LOC111105744,GTPase IMAP family member 4-like,XM_022440119.1
NC_035787.1,chr8,exon,8568361,8568438,LOC111105744,GTPase IMAP family member 4-like,XM_022440119.1
NC_035787.1,chr8,exon,8566170,8568020,LOC111105744,GTPase IMAP family member 4-like,XM_022440119.1
NC_035787.1,chr8,exon,44202417,44202752,LOC111108559,GTPase IMAP family member 7-like,XM_022444543.1
NC_035787.1,chr8,exon,44199959,44202244,LOC111108559,GTPase IMAP family member 7-like,XM_022444543.1
NC_035787.1,chr8,exon,56471416,56471501,LOC111109668,GTPase IMAP family member 7-like,XM_022445882.1
NC_035787.1,chr8,exon,56469630,56469671,LOC111109668,GTPase IMAP family member 7-like,XM_022445882.1
NC_035787.1,chr8,exon,56464194,56467261,LOC111109668,GTPase IMAP family member 7-like,XM_022445882.1
NC_035787.1,chr8,exon,56484924,56484997,LOC111109667,GTPase IMAP family member 4-like,XM_022445881.1
NC_035787.1,chr8,exon,56480953,56480988,LOC111109667,GTPase IMAP family member 4-like,XM_022445881.1
NC_035787.1,chr8,exon,56474449,56476323,LOC111109667,GTPase IMAP family member 4-like,XM_022445881.1
