  Compare Sequence names             Sd        Sn         S         N      ps      pn     ds      dn     ds/dn     ps/pn
   0   32 XM_022440 XM_022443  216.8333  706.1667  319.1667 1219.8333  0.6794  0.5789 1.7720  1.1084    1.5987    1.1736
   0   33 XM_022440 XM_022443  216.8333  706.1667  319.1667 1219.8333  0.6794  0.5789 1.7720  1.1084    1.5987    1.1736
   0   34 XM_022440 XM_022443  216.8333  706.1667  319.1667 1219.8333  0.6794  0.5789 1.7720  1.1084    1.5987    1.1736
   0   35 XM_022440 XM_022454  279.6667  909.3333  376.5000 1510.5000  0.7428  0.6020 3.4852  1.2172    2.8633    1.2339
   0   36 XM_022440 XM_022436  235.3333  730.6667  333.1667 1256.8333  0.7064  0.5814 2.1330  1.1192    1.9058    1.2150
   0   37 XM_022440 XM_022449  169.1667  439.8333  220.3333  829.6667  0.7678  0.5301    nan  0.9203       nan    1.4483
   0   38 XM_022440 XM_022448  276.5000  950.5000  402.0000 1587.0000  0.6878  0.5989 1.8674  1.2017    1.5539    1.1484
   0   39 XM_022440 XM_022448  253.5000  835.5000  365.6667 1455.3333  0.6933  0.5741 1.9361  1.0876    1.7802    1.2076
   0   40 XM_022440 XM_022448  247.5000  814.5000  357.0000 1416.0000  0.6933  0.5752 1.9364  1.0924    1.7727    1.2053
   0   41 XM_022440 XM_022448  242.5000  792.5000  349.8333 1384.1667  0.6932  0.5725 1.9352  1.0810    1.7902    1.2107
   0   42 XM_022440 XM_022448  268.3333  877.6667  379.8333 1510.1667  0.7065  0.5812 2.1346  1.1184    1.9087    1.2156
   0   43 XM_022440 XM_022448  251.3333  831.6667  358.6667 1441.3333  0.7007  0.5770 2.0423  1.1001    1.8564    1.2144
   0   44 XM_022440 XM_022448  274.1667  901.8333  387.5000 1544.5000  0.7075  0.5839 2.1534  1.1306    1.9046    1.2117
   0   45 XM_022440 XM_022448  274.1667  901.8333  387.5000 1544.5000  0.7075  0.5839 2.1534  1.1306    1.9046    1.2117
   0   46 XM_022440 XM_022448  274.1667  901.8333  387.5000 1544.5000  0.7075  0.5839 2.1534  1.1306    1.9046    1.2117
   0   47 XM_022440 XM_022448  274.1667  901.8333  387.5000 1544.5000  0.7075  0.5839 2.1534  1.1306    1.9046    1.2117
   0   48 XM_022440 XM_022448  251.3333  831.6667  358.6667 1441.3333  0.7007  0.5770 2.0423  1.1001    1.8564    1.2144
   0   49 XM_022440 XM_022448  274.1667  901.8333  387.5000 1544.5000  0.7075  0.5839 2.1534  1.1306    1.9046    1.2117
   0   50 XM_022440 XM_022451  146.6667  413.3333  216.6667  806.3333  0.6769  0.5126 1.7464  0.8628    2.0242    1.3205
   0   51 XM_022440 XM_022431  171.3333  506.6667  234.1667  854.8333  0.7317  0.5927 2.7838  1.1715    2.3763    1.2345
   0   52 XM_022440 XM_022431  147.0000  423.0000  204.3333  749.6667  0.7194  0.5643 2.3996  1.0468    2.2924    1.2750
   0   53 XM_022440 XM_022431  280.8333  955.1667  385.5000 1495.5000  0.7285  0.6387 2.6637  1.4308    1.8616    1.1406
   0   54 XM_022440 XM_022439  170.3333  487.6667  223.1667  838.8333  0.7633  0.5814    nan  1.1192       nan    1.3129
   0   55 XM_022440 XM_022439  279.6667  880.3333  367.1667 1390.8333  0.7617  0.6330    nan  1.3931       nan    1.2034
   0   56 XM_022440 XM_022439  181.5000  546.5000  250.8333  934.1667  0.7236  0.5850 2.5097  1.1357    2.2099    1.2369
   0   57 XM_022440 XM_022439  172.1667  514.8333  236.8333  885.1667  0.7270  0.5816 2.6119  1.1204    2.3312    1.2499
   0   58 XM_022440 XM_022439  190.5000  575.5000  256.1667  955.8333  0.7437  0.6021 3.5795  1.2176    2.9397    1.2351
   0   59 XM_022440 XM_022439  179.5000  538.5000  241.5000  901.5000  0.7433  0.5973 3.5353  1.1939    2.9611    1.2443
   0   60 XM_022440 XM_022439  190.5000  575.5000  256.1667  955.8333  0.7437  0.6021 3.5795  1.2176    2.9397    1.2351
   0   61 XM_022440 XM_022439  191.3333  588.6667  256.0000  962.0000  0.7474  0.6119 4.2472  1.2692    3.3464    1.2214
   0   62 XM_022440 XM_022439  177.8333  530.1667  236.0000  886.0000  0.7535  0.5984    nan  1.1990       nan    1.2593
   0   63 XM_022440 XM_022439  165.0000  472.0000  220.5000  826.5000  0.7483  0.5711 4.5668  1.0749    4.2487    1.3103
   0   64 XM_022440 XM_022438  227.5000  771.5000  322.1667 1231.8333  0.7062  0.6263 2.1296  1.3517    1.5755    1.1275
   0   65 XM_022440 XM_022438  222.0000  763.0000  318.6667 1217.3333  0.6967  0.6268 1.9824  1.3546    1.4635    1.1115
   0   66 XM_022440 XM_022438  234.1667  811.8333  336.0000 1272.0000  0.6969  0.6382 1.9863  1.4277    1.3912    1.0920
   0   67 XM_022440 XM_022439  212.0000  732.0000  304.1667 1168.8333  0.6970  0.6263 1.9871  1.3515    1.4704    1.1129
   0   68 XM_022440 XM_022439  117.1667  334.8333  170.5000  624.5000  0.6872  0.5362 1.8600  0.9411    1.9763    1.2817
   0   69 XM_022440 XM_022436  228.0000  713.0000  302.6667 1137.3333  0.7533  0.6269    nan  1.3553       nan    1.2016
   0   70 XM_022440 XM_022436  146.0000  378.0000  186.6667  698.3333  0.7821  0.5413    nan  0.9593       nan    1.4450
   0   71 XM_022440 XM_022436  218.3333  725.6667  299.0000 1174.0000  0.7302  0.6181 2.7262  1.3036    2.0913    1.1814
   0   72 XM_022440 XM_022446  288.6667  923.3333  394.5000 1492.5000  0.7317  0.6186 2.7860  1.3066    2.1322    1.1828
   0   73 XM_022440 XM_022446  267.5000  862.5000  372.0000 1407.0000  0.7191  0.6130 2.3916  1.2751    1.8756    1.1730
   0   74 XM_022440 XM_022445  259.0000  899.0000  377.8333 1428.1667  0.6855  0.6295 1.8399  1.3712    1.3418    1.0890
   0   75 XM_022440 XM_022440  191.6667  623.3333  263.3333 1020.6667  0.7278  0.6107 2.6416  1.2626    2.0921    1.1918
   0   76 XM_022440 XM_022445   57.8333  187.1667   76.5000  322.5000  0.7560  0.5804    nan  1.1148       nan    1.3026
   0   77 XM_022440 XM_022459  214.6667  736.3333  280.6667 1090.3333  0.7648  0.6753    nan  1.7302       nan    1.1326
   0   78 XM_022440 XM_022459  199.3333  672.6667  258.5000 1001.5000  0.7711  0.6717    nan  1.6943       nan    1.1481
   0   79 XM_022440 XM_022459  207.1667  704.8333  270.5000 1049.5000  0.7659  0.6716    nan  1.6936       nan    1.1404
   0   80 XM_022440 XM_022459  196.6667  668.3333  257.5000 1002.5000  0.7638  0.6667    nan  1.6479       nan    1.1456
   0   81 XM_022440 XM_022459  217.8333  719.1667  279.1667 1073.8333  0.7803  0.6697    nan  1.6759       nan    1.1651
   0   82 XM_022440 XM_022476  160.6667  562.3333  239.8333  888.1667  0.6699  0.6331 1.6777  1.3943    1.2032    1.0581
   0   83 XM_022440 XM_022476  159.6667  558.3333  238.8333  883.1667  0.6685  0.6322 1.6649  1.3883    1.1992    1.0575
   0   84 XM_022440 XM_022476  144.3333  497.6667  216.5000  800.5000  0.6667  0.6217 1.6479  1.3242    1.2444    1.0723
   0   85 XM_022440 XM_022476  267.6667  968.3333  382.8333 1438.1667  0.6992  0.6733 2.0187  1.7102    1.1804    1.0384
   0   86 XM_022440 XM_022476  269.8333  911.1667  360.3333 1388.6667  0.7488  0.6561 4.8561  1.5587    3.1154    1.1413
   0   87 XM_022440 XM_022476  278.6667  939.3333  368.8333 1422.1667  0.7555  0.6605    nan  1.5943       nan    1.1439
   0   88 XM_022440 XM_022476  212.6667  656.3333  277.1667 1027.8333  0.7673  0.6386    nan  1.4299       nan    1.2016
   0   89 XM_022440 XM_022476  207.3333  631.6667  268.6667  997.3333  0.7717  0.6334    nan  1.3957       nan    1.2185
   0   90 XM_022440 XM_022476  216.6667  666.3333  280.6667 1045.3333  0.7720  0.6374    nan  1.4224       nan    1.2111
   0   91 XM_022440 XM_022454  120.0000  412.0000  187.5000  697.5000  0.6400  0.5907 1.4397  1.1619    1.2391    1.0835
   0   92 XM_022440 XM_022447  119.0000  420.0000  189.3333  701.6667  0.6285  0.5986 1.3652  1.2000    1.1377    1.0500
   0   93 XM_022440 XM_022461  261.6667  906.3333  355.0000 1343.0000  0.7371  0.6749 3.0465  1.7255    1.7656    1.0922
   0   94 XM_022440 XM_022459  200.6667  669.3333  270.0000  987.0000  0.7432  0.6781 3.5285  1.7591    2.0058    1.0959
   0   95 XM_022440 XM_022444  264.5000  779.5000  358.6667 1279.3333  0.7375  0.6093 3.0680  1.2551    2.4444    1.2103
   0   96 XM_022440 XM_022444  297.3333  953.6667  418.3333 1546.6667  0.7108  0.6166 2.2127  1.2950    1.7087    1.1527
   0   97 XM_022440 XM_022443  206.0000  636.0000  282.6667 1085.3333  0.7288  0.5860 2.6736  1.1401    2.3450    1.2437
   0   98 XM_022440 XM_022446  192.0000  626.0000  261.5000  959.5000  0.7342  0.6524 2.8963  1.5296    1.8935    1.1254
   0   99 XM_022440 XM_022438  165.1667  535.8333  230.6667  807.3333  0.7160  0.6637 2.3212  1.6217    1.4313    1.0788
   0  100 XM_022440 XM_022476  210.6667  736.3333  287.8333 1071.1667  0.7319  0.6874 2.7933  1.8626    1.4997    1.0647
   0  101 XM_022440 XM_022443  295.8333 1085.1667  415.6667 1573.3333  0.7117  0.6897 2.2311  1.8909    1.1800    1.0319
   0  102 XM_022440 XM_022448  310.0000 1119.0000  414.1667 1577.8333  0.7485  0.7092 4.6564  2.1836    2.1325    1.0554
   1    2 XM_022440 XM_022440   28.0000   85.0000  405.3333 1574.6667  0.0691  0.0540 0.0725  0.0560    1.2936    1.2797
   1    3 XM_022440 XM_022442   80.6667  117.3333  151.8333  541.1667  0.5313  0.2168 0.9242  0.2559    3.6116    2.4504
   1    4 XM_022440 XM_022446  106.0000  207.0000  247.1667  913.8333  0.4289  0.2265 0.6361  0.2697    2.3589    1.8933
   1    5 XM_022440 XM_022444  161.1667  343.8333  293.8333 1071.1667  0.5485  0.3210 0.9857  0.4189    2.3528    1.7088
   1    6 XM_022440 XM_022441  174.6667  439.3333  271.8333 1042.1667  0.6426  0.4216 1.4573  0.6193    2.3532    1.5242
   1    7 XM_022440 XM_022441  174.6667  439.3333  271.8333 1042.1667  0.6426  0.4216 1.4573  0.6193    2.3532    1.5242
   1    8 XM_022440 XM_022441  174.6667  439.3333  271.8333 1042.1667  0.6426  0.4216 1.4573  0.6193    2.3532    1.5242
   1    9 XM_022440 XM_022447  134.8333  328.1667  212.5000  828.5000  0.6345  0.3961 1.4032  0.5633    2.4910    1.6019
   1   10 XM_022440 XM_022440  156.5000  455.5000  235.6667  904.3333  0.6641  0.5037 1.6249  0.8351    1.9458    1.3184
   1   11 XM_022440 XM_022445  165.3333  495.6667  249.8333  953.1667  0.6618  0.5200 1.6051  0.8866    1.8105    1.2726
   1   12 XM_022440 XM_022435  272.5000  930.5000  385.1667 1555.8333  0.7075  0.5981 2.1527  1.1975    1.7976    1.1829
   1   13 XM_022440 XM_022445  140.6667  360.3333  195.0000  753.0000  0.7214  0.4785 2.4491  0.7622    3.2134    1.5075
   1   14 XM_022440 XM_022446  208.3333  701.6667  312.1667 1244.8333  0.6674  0.5637 1.6544  1.0444    1.5840    1.1840
   1   15 XM_022440 XM_022445  223.1667  719.8333  323.0000 1273.0000  0.6909  0.5655 1.9059  1.0517    1.8122    1.2219
   1   16 XM_022440 XM_022445  144.0000  378.0000  199.8333  757.1667  0.7206  0.4992 2.4293  0.8217    2.9566    1.4434
   1   17 XM_022440 XM_022445  262.8333  797.1667  358.6667 1390.3333  0.7328  0.5734 2.8317  1.0845    2.6111    1.2781
   1   18 XM_022440 XM_022445  257.3333  822.6667  366.8333 1415.1667  0.7015  0.5813 2.0539  1.1191    1.8354    1.2067
   1   19 XM_022440 XM_022479  137.6667  336.3333  189.5000  704.5000  0.7265  0.4774 2.5964  0.7591    3.4206    1.5217
   1   20 XM_022440 XM_022441  282.8333  835.1667  354.6667 1430.3333  0.7975  0.5839    nan  1.1306       nan    1.3658
   1   21 XM_022440 XM_022440  123.8333  383.1667  182.8333  702.1667  0.6773  0.5457 1.7503  0.9753    1.7946    1.2412
   1   22 XM_022440 XM_022446  126.6667  386.3333  182.8333  702.1667  0.6928  0.5502 1.9301  0.9921    1.9455    1.2592
   1   23 XM_022440 XM_022443  219.0000  724.0000  323.1667 1242.8333  0.6777  0.5825 1.7541  1.1245    1.5599    1.1633
   1   24 XM_022440 XM_022443  217.5000  719.5000  321.8333 1238.1667  0.6758  0.5811 1.7351  1.1181    1.5519    1.1630
   1   25 XM_022440 XM_022443  217.5000  717.5000  320.8333 1236.1667  0.6779  0.5804 1.7567  1.1151    1.5754    1.1680
   1   26 XM_022440 XM_022443  212.6667  708.3333  316.5000 1216.5000  0.6719  0.5823 1.6969  1.1233    1.5106    1.1540
   1   27 XM_022440 XM_022443  213.6667  709.3333  316.8333 1219.1667  0.6744  0.5818 1.7208  1.1213    1.5347    1.1591
   1   28 XM_022440 XM_022443  219.0000  720.0000  322.3333 1237.6667  0.6794  0.5817 1.7725  1.1209    1.5813    1.1679
   1   29 XM_022440 XM_022443  217.5000  715.5000  321.0000 1233.0000  0.6776  0.5803 1.7531  1.1145    1.5730    1.1676
   1   30 XM_022440 XM_022443  219.0000  724.0000  323.1667 1242.8333  0.6777  0.5825 1.7541  1.1245    1.5599    1.1633
   1   31 XM_022440 XM_022443  217.5000  719.5000  321.8333 1238.1667  0.6758  0.5811 1.7351  1.1181    1.5519    1.1630
   1   32 XM_022440 XM_022443  219.0000  724.0000  323.1667 1242.8333  0.6777  0.5825 1.7541  1.1245    1.5599    1.1633
   1   33 XM_022440 XM_022443  219.0000  724.0000  323.1667 1242.8333  0.6777  0.5825 1.7541  1.1245    1.5599    1.1633
   1   34 XM_022440 XM_022443  219.0000  724.0000  323.1667 1242.8333  0.6777  0.5825 1.7541  1.1245    1.5599    1.1633
   1   35 XM_022440 XM_022454  282.5000  923.5000  381.6667 1535.3333  0.7402  0.6015 3.2513  1.2146    2.6769    1.2306
   1   36 XM_022440 XM_022436  238.1667  743.8333  336.5000 1280.5000  0.7078  0.5809 2.1578  1.1172    1.9315    1.2184
   1   37 XM_022440 XM_022449  165.8333  442.1667  218.8333  831.1667  0.7578  0.5320    nan  0.9266       nan    1.4245
   1   38 XM_022440 XM_022448  281.1667  965.8333  408.1667 1610.8333  0.6889  0.5996 1.8801  1.2050    1.5602    1.1489
   1   39 XM_022440 XM_022448  254.8333  836.1667  365.5000 1458.5000  0.6972  0.5733 1.9904  1.0842    1.8358    1.2161
   1   40 XM_022440 XM_022448  248.8333  815.1667  356.8333 1419.1667  0.6973  0.5744 1.9921  1.0889    1.8295    1.2140
   1   41 XM_022440 XM_022448  244.0000  794.0000  349.6667 1387.3333  0.6978  0.5723 1.9988  1.0801    1.8507    1.2193
   1   42 XM_022440 XM_022448  275.3333  892.6667  385.0000 1535.0000  0.7152  0.5815 2.3018  1.1200    2.0551    1.2298
   1   43 XM_022440 XM_022448  258.3333  846.6667  363.8333 1466.1667  0.7100  0.5775 2.1990  1.1021    1.9952    1.2296
   1   44 XM_022440 XM_022448  281.1667  915.8333  392.5000 1569.5000  0.7163  0.5835 2.3280  1.1289    2.0622    1.2276
   1   45 XM_022440 XM_022448  281.1667  915.8333  392.5000 1569.5000  0.7163  0.5835 2.3280  1.1289    2.0622    1.2276
   1   46 XM_022440 XM_022448  281.1667  915.8333  392.5000 1569.5000  0.7163  0.5835 2.3280  1.1289    2.0622    1.2276
   1   47 XM_022440 XM_022448  281.1667  915.8333  392.5000 1569.5000  0.7163  0.5835 2.3280  1.1289    2.0622    1.2276
   1   48 XM_022440 XM_022448  258.3333  846.6667  363.8333 1466.1667  0.7100  0.5775 2.1990  1.1021    1.9952    1.2296
   1   49 XM_022440 XM_022448  281.1667  915.8333  392.5000 1569.5000  0.7163  0.5835 2.3280  1.1289    2.0622    1.2276
   1   50 XM_022440 XM_022451  150.3333  430.6667  221.3333  828.6667  0.6792  0.5197 1.7703  0.8856    1.9991    1.3069
   1   51 XM_022440 XM_022431  171.3333  507.6667  232.6667  856.3333  0.7364  0.5928 3.0069  1.1721    2.5654    1.2421
   1   52 XM_022440 XM_022431  147.0000  424.0000  203.0000  751.0000  0.7241  0.5646 2.5255  1.0481    2.4096    1.2826
   1   53 XM_022440 XM_022431  281.3333  957.6667  385.5000 1498.5000  0.7298  0.6391 2.7104  1.4335    1.8908    1.1419
   1   54 XM_022440 XM_022439  168.3333  488.6667  221.6667  840.3333  0.7594  0.5815    nan  1.1199       nan    1.3059
   1   55 XM_022440 XM_022439  276.5000  881.5000  365.3333 1392.6667  0.7568  0.6330    nan  1.3932       nan    1.1957
   1   56 XM_022440 XM_022439  181.1667  547.8333  249.3333  935.6667  0.7266  0.5855 2.6006  1.1379    2.2855    1.2410
   1   57 XM_022440 XM_022439  172.0000  516.0000  235.3333  886.6667  0.7309  0.5820 2.7519  1.1219    2.4530    1.2559
   1   58 XM_022440 XM_022439  194.1667  593.8333  260.8333  978.1667  0.7444  0.6071 3.6742  1.2434    2.9550    1.2262
   1   59 XM_022440 XM_022439  178.3333  540.6667  240.0000  903.0000  0.7431  0.5987 3.5116  1.2008    2.9243    1.2410
   1   60 XM_022440 XM_022439  194.1667  593.8333  260.8333  978.1667  0.7444  0.6071 3.6742  1.2434    2.9550    1.2262
   1   61 XM_022440 XM_022439  193.8333  609.1667  261.0000  984.0000  0.7427  0.6191 3.4697  1.3091    2.6505    1.1996
   1   62 XM_022440 XM_022439  176.6667  532.3333  234.6667  887.3333  0.7528  0.5999    nan  1.2067       nan    1.2549
   1   63 XM_022440 XM_022439  170.0000  491.0000  224.0000  850.0000  0.7589  0.5776    nan  1.1029       nan    1.3138
   1   64 XM_022440 XM_022438  227.6667  775.3333  320.8333 1233.1667  0.7096  0.6287 2.1911  1.3666    1.6034    1.1286
   1   65 XM_022440 XM_022438  222.1667  766.8333  317.3333 1218.6667  0.7001  0.6292 2.0326  1.3697    1.4840    1.1126
   1   66 XM_022440 XM_022438  236.3333  827.6667  340.1667 1294.8333  0.6948  0.6392 1.9563  1.4343    1.3639    1.0869
   1   67 XM_022440 XM_022439  212.6667  734.3333  303.0000 1170.0000  0.7019  0.6276 2.0596  1.3598    1.5147    1.1183
   1   68 XM_022440 XM_022439  116.8333  336.1667  169.3333  625.6667  0.6900  0.5373 1.8938  0.9451    2.0038    1.2841
   1   69 XM_022440 XM_022436  226.3333  714.6667  301.3333 1138.6667  0.7511  0.6276    nan  1.3598       nan    1.1967
   1   70 XM_022440 XM_022436  144.1667  378.8333  185.6667  699.3333  0.7765  0.5417    nan  0.9608       nan    1.4334
   1   71 XM_022440 XM_022436  216.6667  725.3333  297.8333 1175.1667  0.7275  0.6172 2.6291  1.2985    2.0247    1.1786
   1   72 XM_022440 XM_022446  283.5000  923.5000  394.3333 1498.6667  0.7189  0.6162 2.3880  1.2929    1.8470    1.1667
   1   73 XM_022440 XM_022446  265.1667  866.8333  374.5000 1419.5000  0.7081  0.6107 2.1628  1.2624    1.7133    1.1595
   1   74 XM_022440 XM_022445  259.0000  899.0000  377.1667 1431.8333  0.6867  0.6279 1.8541  1.3612    1.3621    1.0937
   1   75 XM_022440 XM_022440  190.0000  624.0000  262.0000 1022.0000  0.7252  0.6106 2.5566  1.2619    2.0261    1.1877
   1   76 XM_022440 XM_022445   56.3333  187.6667   75.6667  323.3333  0.7445  0.5804 3.6856  1.1150    3.3054    1.2827
   1   77 XM_022440 XM_022459  213.6667  741.3333  279.1667 1091.8333  0.7654  0.6790    nan  1.7678       nan    1.1272
   1   78 XM_022440 XM_022459  198.3333  677.6667  257.0000 1003.0000  0.7717  0.6756    nan  1.7334       nan    1.1422
   1   79 XM_022440 XM_022459  206.6667  709.3333  269.1667 1050.8333  0.7678  0.6750    nan  1.7271       nan    1.1375
   1   80 XM_022440 XM_022459  196.1667  672.8333  256.1667 1003.8333  0.7658  0.6703    nan  1.6810       nan    1.1425
   1   81 XM_022440 XM_022459  217.0000  722.0000  277.8333 1075.1667  0.7810  0.6715    nan  1.6930       nan    1.1631
   1   82 XM_022440 XM_022476  165.8333  582.1667  243.5000  911.5000  0.6810  0.6387 1.7899  1.4308    1.2510    1.0663
   1   83 XM_022440 XM_022476  164.8333  578.1667  242.5000  906.5000  0.6797  0.6378 1.7757  1.4248    1.2463    1.0657
   1   84 XM_022440 XM_022476  149.6667  517.3333  220.3333  823.6667  0.6793  0.6281 1.7709  1.3626    1.2997    1.0815
   1   85 XM_022440 XM_022476  273.8333  989.1667  386.6667 1461.3333  0.7082  0.6769 2.1652  1.7461    1.2400    1.0462
   1   86 XM_022440 XM_022476  271.1667  914.8333  360.1667 1391.8333  0.7529  0.6573    nan  1.5679       nan    1.1455
   1   87 XM_022440 XM_022476  280.0000  943.0000  368.6667 1425.3333  0.7595  0.6616    nan  1.6036       nan    1.1480
   1   88 XM_022440 XM_022476  212.0000  657.0000  275.8333 1029.1667  0.7686  0.6384    nan  1.4287       nan    1.2040
   1   89 XM_022440 XM_022476  206.6667  632.3333  267.3333  998.6667  0.7731  0.6332    nan  1.3946       nan    1.2209
   1   90 XM_022440 XM_022476  216.0000  667.0000  279.3333 1046.6667  0.7733  0.6373    nan  1.4212       nan    1.2134
   1   91 XM_022440 XM_022454  118.1667  411.8333  186.3333  698.6667  0.6342  0.5895 1.4010  1.1561    1.2118    1.0759
   1   92 XM_022440 XM_022447  116.6667  421.3333  188.0000  703.0000  0.6206  0.5993 1.3177  1.2038    1.0946    1.0354
   1   93 XM_022440 XM_022461  261.1667  911.8333  355.3333 1345.6667  0.7350  0.6776 2.9335  1.7535    1.6730    1.0847
   1   94 XM_022440 XM_022459  198.0000  671.0000  268.6667  988.3333  0.7370  0.6789 3.0398  1.7672    1.7201    1.0855
   1   95 XM_022440 XM_022444  266.0000  792.0000  363.1667 1301.8333  0.7324  0.6084 2.8161  1.2502    2.2526    1.2039
   1   96 XM_022440 XM_022444  296.6667  957.3333  418.1667 1549.8333  0.7094  0.6177 2.1881  1.3013    1.6815    1.1485
   1   97 XM_022440 XM_022443  208.1667  651.8333  286.1667 1108.8333  0.7274  0.5879 2.6276  1.1487    2.2875    1.2374
   1   98 XM_022440 XM_022446  195.1667  624.8333  260.1667  960.8333  0.7502  0.6503    nan  1.5135       nan    1.1536
   1   99 XM_022440 XM_022438  164.8333  539.1667  229.3333  808.6667  0.7188  0.6667 2.3835  1.6485    1.4459    1.0780
   1  100 XM_022440 XM_022476  210.8333  740.1667  286.3333 1072.6667  0.7363  0.6900 3.0032  1.8946    1.5851    1.0671
   1  101 XM_022440 XM_022443  296.8333 1099.1667  421.5000 1597.5000  0.7042  0.6881 2.0973  1.8704    1.1214    1.0235
   1  102 XM_022440 XM_022448  309.6667 1136.3333  419.6667 1602.3333  0.7379  0.7092 3.0944  2.1831    1.4174    1.0405
   2    3 XM_022440 XM_022442   78.8333  120.1667  152.1667  540.8333  0.5181  0.2222 0.8802  0.2635    3.3406    2.3317
   2    4 XM_022440 XM_022446  106.1667  208.8333  242.5000  900.5000  0.4378  0.2319 0.6573  0.2774    2.3692    1.8878
   2    5 XM_022440 XM_022444  162.0000  346.0000  293.0000 1069.0000  0.5529  0.3237 1.0023  0.4236    2.3659    1.7082
   2    6 XM_022440 XM_022441  165.8333  435.1667  268.8333 1033.1667  0.6169  0.4212 1.2965  0.6185    2.0964    1.4645
